,cd_ibge,estado,ano,vl_arrec
72,33, Rio de Janeiro,2002,8274159609
73,35, São Paulo,2002,30505559789
74,41, Paraná,2002,3803924278
75,42, Santa Catarina,2002,2667420285
76,43, Rio Grande do Sul,2002,4653450827
77,50, Mato Grosso do Sul,2002,427393190
78,51, Mato Grosso,2002,494309380
79,52, Goiás,2002,1079024732
80,53, Distrito Federal,2002,3057119868
81,11, Rondônia,2003,241237149
82,12, Acre,2003,103781571
83,13, Amazonas,2003,690255066
84,14, Roraima,2003,103793593
85,15, Pará,2003,869205757
86,16, Amapá,2003,87292009
87,17, Tocantins,2003,207601528
88,21, Maranhão,2003,416211521
89,22, Piauí,2003,246120067
90,23, Ceará,2003,1082396243
91,24, Rio Grande do Norte,2003,531577817
92,25, Paraíba,2003,422787555
93,26, Pernambuco,2003,1413698107
94,27, Alagoas,2003,376725207
95,28, Sergipe,2003,388638169
96,29, Bahia,2003,2304349421
97,31, Minas Gerais,2003,6052954046
98,32, Espírito Santo,2003,1158176950
99,33, Rio de Janeiro,2003,9528453367
100,35, São Paulo,2003,35111328518
101,41, Paraná,2003,4433218516
102,42, Santa Catarina,2003,3184774113
103,43, Rio Grande do Sul,2003,5515478010
104,50, Mato Grosso do Sul,2003,542211569
105,51, Mato Grosso,2003,616810126
106,52, Goiás,2003,1347122538
107,53, Distrito Federal,2003,3206976036
108,11, Rondônia,2004,265123531
109,12, Acre,2004,122834559
110,13, Amazonas,2004,847562496
111,14, Roraima,2004,96661777
112,15, Pará,2004,990208542
113,16, Amapá,2004,106925604
114,17, Tocantins,2004,251493919
115,21, Maranhão,2004,440468055
116,22, Piauí,2004,296238235
117,23, Ceará,2004,1282703571
118,24, Rio Grande do Norte,2004,585408055
119,25, Paraíba,2004,439889115
120,26, Pernambuco,2004,1602884283
121,27, Alagoas,2004,417166449
122,28, Sergipe,2004,448089089
123,29, Bahia,2004,2666565950
124,31, Minas Gerais,2004,7008935532
125,32, Espírito Santo,2004,1360259811
126,33, Rio de Janeiro,2004,10682283094
127,35, São Paulo,2004,40163454092
128,41, Paraná,2004,5107756812
129,42, Santa Catarina,2004,3739490163
130,43, Rio Grande do Sul,2004,6470731006
131,50, Mato Grosso do Sul,2004,653881875
132,51, Mato Grosso,2004,771926622
133,52, Goiás,2004,1609011472
134,53, Distrito Federal,2004,3724453122
135,11, Rondônia,2005,308599031
136,12, Acre,2005,157329335
137,13, Amazonas,2005,1018393928
138,14, Roraima,2005,121495849
139,15, Pará,2005,1242983064
140,16, Amapá,2005,118503266
141,17, Tocantins,2005,275715078
142,21, Maranhão,2005,550049413
143,22, Piauí,2005,355640532
144,23, Ceará,2005,1546329185
145,24, Rio Grande do Norte,2005,692694539
146,25, Paraíba,2005,533277925
147,26, Pernambuco,2005,1872351333
148,27, Alagoas,2005,495411584
149,28, Sergipe,2005,530839805
150,29, Bahia,2005,3090541107
151,31, Minas Gerais,2005,8377414968
152,32, Espírito Santo,2005,1618108315
153,33, Rio de Janeiro,2005,12583940290
154,35, São Paulo,2005,45937642390
155,41, Paraná,2005,5737807021
156,42, Santa Catarina,2005,4220897188
157,43, Rio Grande do Sul,2005,7090457653
158,50, Mato Grosso do Sul,2005,753153916
159,51, Mato Grosso,2005,935063614
160,52, Goiás,2005,1871000131
161,53, Distrito Federal,2005,4557037153
162,11, Rondônia,2006,395628423
163,12, Acre,2006,185630916
164,13, Amazonas,2006,1195084652
165,14, Roraima,2006,149496249
166,15, Pará,2006,1456058811
167,16, Amapá,2006,126582096
168,17, Tocantins,2006,327007329
169,21, Maranhão,2006,628244599
170,22, Piauí,2006,429909737
171,23, Ceará,2006,1805125794
172,24, Rio Grande do Norte,2006,798737853
173,25, Paraíba,2006,638456803
174,26, Pernambuco,2006,2112955772
175,27, Alagoas,2006,559686828
176,28, Sergipe,2006,584722083
177,29, Bahia,2006,3343913847
178,31, Minas Gerais,2006,9636310719
179,32, Espírito Santo,2006,1935865616
180,33, Rio de Janeiro,2006,14049899456
181,35, São Paulo,2006,51154643333
182,41, Paraná,2006,6386854087
183,42, Santa Catarina,2006,4716904377
184,43, Rio Grande do Sul,2006,7572527305
185,50, Mato Grosso do Sul,2006,839850993
186,51, Mato Grosso,2006,1041747059
187,52, Goiás,2006,2163284793
188,53, Distrito Federal,2006,5285784255
189,11, Rondônia,2007,439679196
190,12, Acre,2007,202792556
191,13, Amazonas,2007,1398384715
192,14, Roraima,2007,174972972
193,15, Pará,2007,1714613764
194,16, Amapá,2007,156223654
195,17, Tocantins,2007,395219233
196,21, Maranhão,2007,773931779
197,22, Piauí,2007,485424737
198,23, Ceará,2007,2188057942
199,24, Rio Grande do Norte,2007,963632291
200,25, Paraíba,2007,785877879
201,26, Pernambuco,2007,2469843676
202,27, Alagoas,2007,644521270
203,28, Sergipe,2007,696146337
204,29, Bahia,2007,4019591663
205,31, Minas Gerais,2007,11137257229
206,32, Espírito Santo,2007,2135119887
207,33, Rio de Janeiro,2007,16694048175
208,35, São Paulo,2007,59096476207
209,41, Paraná,2007,7467277315
210,42, Santa Catarina,2007,5546278401
211,43, Rio Grande do Sul,2007,8637864987
212,50, Mato Grosso do Sul,2007,932003568
213,51, Mato Grosso,2007,1245869902
214,52, Goiás,2007,2581790414
215,53, Distrito Federal,2007,5442331348
216,11, Rondônia,2008,587781101
217,12, Acre,2008,264787080
218,13, Amazonas,2008,1691009651
219,14, Roraima,2008,196622291
220,15, Pará,2008,1994797846
221,16, Amapá,2008,202164296
222,17, Tocantins,2008,477645318
223,21, Maranhão,2008,977701230
224,22, Piauí,2008,579925594
225,23, Ceará,2008,2645264510
226,24, Rio Grande do Norte,2008,1180157876
227,25, Paraíba,2008,957419394
228,26, Pernambuco,2008,3014979283
229,27, Alagoas,2008,767565068
230,28, Sergipe,2008,846756738
231,29, Bahia,2008,4844474558
232,31, Minas Gerais,2008,13260376620
233,32, Espírito Santo,2008,2453617771
234,33, Rio de Janeiro,2008,19760088337
235,35, São Paulo,2008,70179051698
236,41, Paraná,2008,8812767720
237,42, Santa Catarina,2008,6280609468
238,43, Rio Grande do Sul,2008,10137742613
239,50, Mato Grosso do Sul,2008,1133273819
240,51, Mato Grosso,2008,1530526538
241,52, Goiás,2008,2975940760
242,53, Distrito Federal,2008,7312917845
243,11, Rondônia,2009,645023007
244,12, Acre,2009,293414584
245,13, Amazonas,2009,1710346703
246,14, Roraima,2009,214252370
247,15, Pará,2009,2115959506
248,16, Amapá,2009,189270612
249,17, Tocantins,2009,507727278
250,21, Maranhão,2009,1194509848
251,22, Piauí,2009,685516093
252,23, Ceará,2009,2955053758
253,24, Rio Grande do Norte,2009,1211611976
254,25, Paraíba,2009,1054170031
255,26, Pernambuco,2009,3402702195
256,27, Alagoas,2009,789042009
257,28, Sergipe,2009,869038377
258,29, Bahia,2009,5181954812
259,31, Minas Gerais,2009,14297032239
260,32, Espírito Santo,2009,2510189221
261,33, Rio de Janeiro,2009,22544757772
262,35, São Paulo,2009,75084365002
263,41, Paraná,2009,9576280113
264,42, Santa Catarina,2009,6762378057
265,43, Rio Grande do Sul,2009,10718081540
266,50, Mato Grosso do Sul,2009,1230412098
267,51, Mato Grosso,2009,1683787266
268,52, Goiás,2009,3064626016
269,53, Distrito Federal,2009,7994265926
270,11, Rondônia,2010,837579044
271,12, Acre,2010,334383605
272,13, Amazonas,2010,1972319979
273,14, Roraima,2010,239951793
274,15, Pará,2010,2345609876
275,16, Amapá,2010,186712694
276,17, Tocantins,2010,619463128
277,21, Maranhão,2010,1355971928
278,22, Piauí,2010,896438469
279,23, Ceará,2010,3710471794
280,24, Rio Grande do Norte,2010,1426695771
281,25, Paraíba,2010,1240366173
282,26, Pernambuco,2010,4161141821
283,27, Alagoas,2010,878690165
284,28, Sergipe,2010,1021305499
285,29, Bahia,2010,6024279312
286,31, Minas Gerais,2010,17063664587
287,32, Espírito Santo,2010,2966146370
288,33, Rio de Janeiro,2010,25854367182
289,35, São Paulo,2010,86843958641
290,41, Paraná,2010,11177836377
291,42, Santa Catarina,2010,7787727651
292,43, Rio Grande do Sul,2010,12456888836
293,50, Mato Grosso do Sul,2010,1355454432
294,51, Mato Grosso,2010,1936093151
295,52, Goiás,2010,3553960361
296,53, Distrito Federal,2010,9486039658
297,11, Rondônia,2011,1015845063
298,12, Acre,2011,354753303
299,13, Amazonas,2011,2243033892
300,14, Roraima,2011,271305737
301,15, Pará,2011,2785548607
302,16, Amapá,2011,241645007
303,17, Tocantins,2011,779843296
304,21, Maranhão,2011,1599483206
305,22, Piauí,2011,1011266363
306,23, Ceará,2011,4314182503
307,24, Rio Grande do Norte,2011,1624879809
308,25, Paraíba,2011,1505413720
309,26, Pernambuco,2011,4927565062
310,27, Alagoas,2011,1030243989
311,28, Sergipe,2011,1189472845
312,29, Bahia,2011,6817524583
313,31, Minas Gerais,2011,19304297192
314,32, Espírito Santo,2011,3444704925
315,33, Rio de Janeiro,2011,29972804445
316,35, São Paulo,2011,101090582416
317,41, Paraná,2011,13004948290
318,42, Santa Catarina,2011,8896939001
319,43, Rio Grande do Sul,2011,14344130268
320,50, Mato Grosso do Sul,2011,1554177070
321,51, Mato Grosso,2011,2258337503
322,52, Goiás,2011,4214729246
323,53, Distrito Federal,2011,10331269583
324,11, Rondônia,2012,1088439023
325,12, Acre,2012,388346701
326,13, Amazonas,2012,2345346775
327,14, Roraima,2012,284986491
328,15, Pará,2012,3228230890
329,16, Amapá,2012,282487404
330,17, Tocantins,2012,733191328
331,21, Maranhão,2012,1675579779
332,22, Piauí,2012,1115176518
333,23, Ceará,2012,4921248739
334,24, Rio Grande do Norte,2012,1618560545
335,25, Paraíba,2012,1697561178
336,26, Pernambuco,2012,5645756690
337,27, Alagoas,2012,1078340260
338,28, Sergipe,2012,1251010115
339,29, Bahia,2012,7309391086
340,31, Minas Gerais,2012,21112963637
341,32, Espírito Santo,2012,3858940439
342,33, Rio de Janeiro,2012,32481402340
343,35, São Paulo,2012,110287731245
344,41, Paraná,2012,14354100465
345,42, Santa Catarina,2012,9507023754
346,43, Rio Grande do Sul,2012,15128490428
347,50, Mato Grosso do Sul,2012,1788631719
348,51, Mato Grosso,2012,2572112612
349,52, Goiás,2012,4833304764
350,53, Distrito Federal,2012,11252544900
351,11, Rondônia,2013,1149485213
352,12, Acre,2013,420972341
353,13, Amazonas,2013,2311424679
354,14, Roraima,2013,303870578
355,15, Pará,2013,3427882121
356,16, Amapá,2013,255051026
357,17, Tocantins,2013,805421322
358,21, Maranhão,2013,1918002514
359,22, Piauí,2013,1254704880
360,23, Ceará,2013,5414009496
361,24, Rio Grande do Norte,2013,1781287364
362,25, Paraíba,2013,1837900939
363,26, Pernambuco,2013,6064286479
364,27, Alagoas,2013,1178947591
365,28, Sergipe,2013,1312777398
366,29, Bahia,2013,7972686450
367,31, Minas Gerais,2013,22203120371
368,32, Espírito Santo,2013,4131964942
369,33, Rio de Janeiro,2013,34660261722
370,35, São Paulo,2013,112010272936
371,41, Paraná,2013,15263844175
372,42, Santa Catarina,2013,9838203413
373,43, Rio Grande do Sul,2013,15824996479
374,50, Mato Grosso do Sul,2013,1986051260
375,51, Mato Grosso,2013,2787092860
376,52, Goiás,2013,5266477847
377,53, Distrito Federal,2013,13107848029
378,11, Rondônia,2014,898891298
379,12, Acre,2014,477377351
380,13, Amazonas,2014,1998310624
381,14, Roraima,2014,283721973
382,15, Pará,2014,3055798654
383,16, Amapá,2014,278233998
384,17, Tocantins,2014,512939711
385,21, Maranhão,2014,1650135546
386,22, Piauí,2014,1083999228
387,23, Ceará,2014,5021988551
388,24, Rio Grande do Norte,2014,1479747153
389,25, Paraíba,2014,1660748757
390,26, Pernambuco,2014,5165285064
391,27, Alagoas,2014,1213391121
392,28, Sergipe,2014,1184566153
393,29, Bahia,2014,6734159545
394,31, Minas Gerais,2014,18911423145
395,32, Espírito Santo,2014,3887334417
396,33, Rio de Janeiro,2014,32784781294
397,35, São Paulo,2014,105851365536
398,41, Paraná,2014,14894044024
399,42, Santa Catarina,2014,10252908179
400,43, Rio Grande do Sul,2014,16924781189
401,50, Mato Grosso do Sul,2014,2139549443
402,51, Mato Grosso,2014,2470217335
403,52, Goiás,2014,3879988701
404,53, Distrito Federal,2014,13807675726
405,11, Rondônia,2015,866236050
406,12, Acre,2015,446007373
407,13, Amazonas,2015,1930636675
408,14, Roraima,2015,282750119
409,15, Pará,2015,3119138659
410,16, Amapá,2015,241259851
411,17, Tocantins,2015,515975395
412,21, Maranhão,2015,1639273627
413,22, Piauí,2015,1074609298
414,23, Ceará,2015,5103718795
415,24, Rio Grande do Norte,2015,1503246922
416,25, Paraíba,2015,1712204903
417,26, Pernambuco,2015,5209112154
418,27, Alagoas,2015,1179648654
419,28, Sergipe,2015,1204090471
420,29, Bahia,2015,6546734448
421,31, Minas Gerais,2015,18775153056
422,32, Espírito Santo,2015,3887862702
423,33, Rio de Janeiro,2015,32824819142
424,35, São Paulo,2015,108461837122
425,41, Paraná,2015,15148955299
426,42, Santa Catarina,2015,10578157484
427,43, Rio Grande do Sul,2015,17256890489
428,50, Mato Grosso do Sul,2015,2167656177
429,51, Mato Grosso,2015,2583713335
430,52, Goiás,2015,3741449636
431,53, Distrito Federal,2015,14328032001
432,11, Rondônia,2016,860498171
433,12, Acre,2016,485796236
434,13, Amazonas,2016,1816617663
435,14, Roraima,2016,304583438
436,15, Pará,2016,3067461353
437,16, Amapá,2016,256883950
438,17, Tocantins,2016,538947939
439,21, Maranhão,2016,1755011437
440,22, Piauí,2016,1158680835
441,23, Ceará,2016,5116438203
442,24, Rio Grande do Norte,2016,1521820111
443,25, Paraíba,2016,1786611970
444,26, Pernambuco,2016,5595905480
445,27, Alagoas,2016,1214208671
446,28, Sergipe,2016,1223417272
447,29, Bahia,2016,6503963464
448,31, Minas Gerais,2016,19607111712
449,32, Espírito Santo,2016,4007126440
450,33, Rio de Janeiro,2016,33132138757
451,35, São Paulo,2016,118862531605
452,41, Paraná,2016,16340271232
453,42, Santa Catarina,2016,11618672132
454,43, Rio Grande do Sul,2016,18101731809
455,50, Mato Grosso do Sul,2016,2382975079
456,51, Mato Grosso,2016,2794645818
457,52, Goiás,2016,3773210876
458,53, Distrito Federal,2016,14510926130
